DictionaryKanji,DictionaryKana,Type,Meaning

遊ぶ,あそぶ,u,to play
急ぐ,いそぐ,u,to hurry
お風呂に入る,おふろにはいる,u,to take a bath
返す,かえす,u,to return (a thing)
消す,けす,u,to turn off/to erase
座る,すわる,u,to sit down
死ぬ,しぬ,u,to die
立つ,たつ,u,to stand up 
タバコを吸う,たばこをすう,u,to smoke
使う,つかう,u,to use
手伝う,てつだう,u,to help
入る,はいる,u,to enter
持つ,もつ,u,to carry
休む,やすむ,u,to rest/to be absent from
開ける,あける,ru,to open (something)
教える,おしえる,ru,to teach/to instruct
降りる,おりる,ru,to get off
借りる,かりる,ru,to borrow
閉める,しめる,ru,to close (something)
シャワーを浴びる,シャワーをあびる,ru,to take a shower
つける,つける,ru,to turn on
電話をかける,でんわをかける,ru,to make a phone call
忘れる,わすれる,ru,to forget
連れて来る,つれてくる,i,to bring (a person)
持って来る,もってくる,i,to bring (a thing)
